Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Lounder, Richard",4,9,6,3,12,5,2,5,,,,,,1,3,,,,,,,,
"Bower, Darren",3,22,7,10,32,2,1,,6,,,,,6,7,,,,,,,,
"Kingsley, Kent",3,21,18,9,30,2,3,,2,,7,,7,,4,,3,27,,6,,,2
"Martyn, Will",3,14,6,12,26,,,,3,,3,3,8,,4,,9,21,,,2,,
"Naismith, Sam",3,9,8,17,26,,,38,6,1,1,10,5,5,3,,17,11,1,2,13,,
"Deery, Maurie",3,19,5,4,23,,,,,,,,,1,,,,,,,,,
"Balme, Craig",3,15,4,4,19,,,,,,,,,6,1,,,,,,,,
"Hudson, Paul",3,12,8,6,18,1,2,,3,,3,3,4,1,1,,9,9,1,4,2,,
"Hicks, Robert",3,11,6,7,18,1,2,,6,,3,,1,,,,9,9,1,1,1,1,4
"McLeod, Mark",3,13,5,3,16,,1,3,,,,,,1,3,,,,,,,,
"Baker, Ian",3,11,1,2,13,,1,,,,,,,2,3,,,,,,,,
"French, Lloyd",3,7,5,5,12,2,,1,,,,,,2,,,,,,,,,
"Slater, Adam",3,4,1,4,8,1,,,,,,,,2,1,,,,,,,,
"Teague, Barry",3,6,,1,7,1,2,,,,,,,1,1,,,,,,,,
"Barrot, Wes",3,5,,,5,,,,,,,,,,,,,,,,,,
"Marcon, Adam",2,23,13,15,38,1,,,5,5,3,3,8,1,2,,10,28,1,,,,1
"Trezise, James",2,17,5,14,31,,,,6,8,3,,3,1,1,,12,15,,,12,1,
"Weller, Maverick",2,17,6,14,31,1,1,,1,5,4,1,6,,1,,11,21,1,,4,,
"Lynch, Alan",2,12,3,15,27,1,1,,,,,,,2,3,,,,,,,,
"Mahony, Brett",2,17,7,9,26,,,,,,,,,,1,,,,,,,,
"Buttifant, David",2,17,4,8,25,,,,4,,,,,1,1,,,,,,,,
"Mugavin, Noel",2,14,7,9,23,3,,,,,,,,2,2,,,,,,,,
"Dintinosante, Renato",2,20,,3,23,,,,1,,,,,3,1,,,,,,,,
"Lonergan, Sam",2,11,4,11,22,,,,6,2,4,7,4,1,2,,16,7,,,,1,1
"Dennis, Simon",2,14,6,8,22,,,,4,,,,,1,5,,,,,,,,
"Greenslade, Malcolm",2,21,12,1,22,7,3,,,,,,,3,6,,,,,,,,
"Sutcliffe, Scott",2,11,5,6,17,,,,,,,,,1,,,,,,,,,
"Pitura, Mark",2,11,3,5,16,,1,,2,,,,,,,,,,,,,,
"Stengle, Tyson",2,11,4,5,16,2,1,,4,,2,,1,2,1,,6,9,,1,,,
"Roach, Stephen",2,7,4,9,16,,,,,,,,,3,3,,,,,,,,
"Bain, Frank",2,6,,9,15,,,,,,,,,3,4,,,,,,,,
"MacIlwain, Geoff",2,7,1,7,14,,,,,,,,,4,2,,,,,,,,
"Cartledge, Tristan",2,5,,8,13,1,,14,5,,5,2,4,2,1,,5,8,,,2,,1
"Derickx, Tom",2,5,2,8,13,,,13,5,1,3,1,4,2,2,,9,4,1,,7,,
"Roberts, Relton",2,12,5,1,13,,2,,1,1,4,1,3,,1,,2,8,1,,,1,
"Keighran, Darren",2,6,4,7,13,,1,,1,,,,,,,,,,,,,,
"Trotter, Barrie",2,10,1,3,13,,,,,,,,,3,2,,,,,,,,
"Steele, Stuart",2,6,1,6,12,,,,1,,,,,,2,,,,,,,,
"Green, Steely",2,8,4,3,11,,,,2,1,3,1,3,1,1,,5,8,,,1,,1
"Simpson, David",2,10,3,1,11,1,4,1,,,,,,,4,,,,,,,,
"Burke, Peter",2,8,,2,10,,,,3,,,,,2,,,,,,,,,
"Chivers, John",2,10,2,,10,,1,,,,,,,3,3,,,,,,,,
"Wilson, Trevor",2,7,2,1,8,2,,,,,,,,1,1,,,,,,,,
"Kelly, Frank",2,7,1,,7,1,,,,,,,,1,,,,,,,,,
"Baldwin, Jason",2,5,,1,6,,,,,,,,,,,,,,,,,,
"Shinners, Brian",2,1,,,1,,,,,,,,,,1,,,,,,,,
"Nunan, Michael",1,13,1,8,21,3,,,,,,,,4,2,,,,,,,,
"Humm, Jeremy",1,9,3,5,14,,,,1,1,3,2,4,1,1,,5,10,,,1,1,1
"Blight, Jacob",1,6,3,5,11,,,,2,3,,,4,,1,,3,8,,,6,,
"Curran, Pat",1,8,,3,11,,,,,,,,,1,1,,,,,,,,
"Cross, Andrew",1,6,1,4,10,,,,,,,,,1,,,,,,,,,
"Ross, Bradley",1,5,,4,9,,,,,,,,,2,1,,,,,,,,
"Nyuon, Bigoa",1,2,,4,6,,,,2,1,,,2,1,,,3,3,,,10,,
"Smith, Jason",1,2,,4,6,,,,,,,,,,1,,,,,,,,
"Pastore, Anthony",1,3,1,3,6,,,,2,,,,,2,,,,,,,,,
"Jewell, Nick",1,4,1,1,5,,,,,,,,,,1,,,,,,,,
"Robertson, John",1,1,,4,5,,,,,,,,,,,,,,,,,,
"Tully, Russell",1,3,3,1,4,,,,,,,,,1,1,,,,,,,,
"Donati, Daniel",1,1,,2,3,,,,1,,,,,,,,,,,,,,
"Smith, Kaleb",1,3,,,3,,,,1,3,,,2,,1,,1,1,,,,,
"Henry, David",1,2,,1,3,,,,,,,,,,,,,,,,,,
"Hunt, Tony",1,3,1,,3,,3,,,,,,,,1,,,,,,,,
"Oppy, Grant",1,2,1,,2,,1,,,,,,,,1,,,,,,,,
"Dunne, Jeff",1,,,,,,,,,,,,,,1,,,,,,,,
"Gehling, Bill",1,,,,,,,,,,,,,,1,,,,,,,,
"Jacks, David",1,,,,,,,,,,,,,,2,,,,,,,,
