Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Laughlin, Peter",25,182,62,59,241,46,23,,,,,,,33,35,2,,,,,,,
"Perry, John",24,265,71,47,312,1,8,2,,,,,,36,37,,,,,,,,
"Pym, Chris",24,200,65,100,300,13,10,,26,,,,,18,20,,,,,,,,
"Warner, Ross",24,201,70,57,258,22,23,7,,,,,,28,26,1,,,,,,,
"Miller, Brad",24,137,109,112,249,31,19,26,52,5,44,5,39,24,22,,97,157,19,42,48,,16
"Busse, Neil",24,182,78,20,202,2,4,1,,,,,,25,16,1,,,,,,,
"Cumberland, Noah",24,130,52,69,199,33,23,,50,,43,12,67,20,21,,100,100,10,23,17,2,13
"Moore, Ben",24,119,29,49,168,11,11,,25,3,21,16,5,15,18,,28,21,2,3,2,,
"Markov, Oleg",23,189,97,102,291,3,5,,30,48,34,10,45,12,14,,89,208,6,6,39,17,2
"Shinners, Kevin",23,211,68,51,262,,,1,,,,,,26,33,,,,,,,,
"Nason, Ben",23,164,75,96,260,17,6,,54,15,57,4,33,19,14,,79,185,2,8,24,14,5
"Dickeson, Wilf",23,199,40,14,213,,,,,,,,,28,22,3,,,,,,,
"McKenna, Michael",22,232,31,136,368,10,6,,,,,,,41,29,3,,,,,,,
"Hogan, Peter",22,258,27,35,293,29,29,,,,,,,50,30,5,,,,,,,
"Howat, Cameron",21,228,100,85,313,10,5,,35,22,59,19,36,6,13,,50,263,,3,34,46,9
"Sonsie, Tyler",21,168,57,129,297,7,9,,29,19,47,31,45,11,7,,101,189,2,12,13,2,7
"Jackson, Stevan",21,188,83,92,280,30,15,18,28,,,,,27,42,2,,,,,,,
"Gordon, Nathan",21,142,78,87,229,18,12,,40,8,51,4,44,11,20,,86,150,4,19,13,8,5
"Lennon, Ben",21,153,90,61,214,10,7,,23,5,42,4,36,17,9,,73,145,12,14,23,,16
"Knobel, Trent",21,54,53,101,155,4,5,341,34,6,21,19,44,18,26,,63,94,9,10,50,1,2
